country	year	pop	continent	lifeExp	gdpPercap
1	Germany	1952	69145952	Europe	67.5	7144.114393
2	Germany	1957	71019069	Europe	69.1	10187.82665
3	Germany	1962	73739117	Europe	70.3	12902.46291
4	Germany	1967	76368453	Europe	70.8	14745.62561
5	Germany	1972	78717088	Europe	71	18016.18027
6	Germany	1977	78160773	Europe	72.5	20512.92123
7	Germany	1982	78335266	Europe	73.8	22031.53274
8	Germany	1987	77718298	Europe	74.847	24639.18566
9	Germany	1992	80597764	Europe	76.07	26505.30317
10	Germany	1997	82011073	Europe	77.34	27788.88416
11	Germany	2002	82350671	Europe	78.67	30035.80198
12	Germany	2007	82400996	Europe	79.406	32170.37442
13	United Kingdom	1952	50430000	Europe	69.18	9979.508487
14	United Kingdom	1957	51430000	Europe	70.42	11283.17795
15	United Kingdom	1962	53292000	Europe	70.76	12477.17707
16	United Kingdom	1967	54959000	Europe	71.36	14142.85089
17	United Kingdom	1972	56079000	Europe	72.01	15895.11641
18	United Kingdom	1977	56179000	Europe	72.76	17428.74846
19	United Kingdom	1982	56339704	Europe	74.04	18232.42452
20	United Kingdom	1987	56981620	Europe	75.007	21664.78767
21	United Kingdom	1992	57866349	Europe	76.42	22705.09254
22	United Kingdom	1997	58808266	Europe	77.218	26074.53136
23	United Kingdom	2002	59912431	Europe	78.471	29478.99919
24	United Kingdom	2007	60776238	Europe	79.425	33203.26128
25	Italy	1952	47666000	Europe	65.94	4931.404155
26	Italy	1957	49182000	Europe	67.81	6248.656232
27	Italy	1962	50843200	Europe	69.24	8243.58234
28	Italy	1967	52667100	Europe	71.06	10022.40131
29	Italy	1972	54365564	Europe	72.19	12269.27378
30	Italy	1977	56059245	Europe	73.48	14255.98475
31	Italy	1982	56535636	Europe	74.98	16537.4835
32	Italy	1987	56729703	Europe	76.42	19207.23482
33	Italy	1992	56840847	Europe	77.44	22013.64486
34	Italy	1997	57479469	Europe	78.82	24675.02446
35	Italy	2002	57926999	Europe	80.24	27968.09817
36	Italy	2007	58147733	Europe	80.546	28569.7197
37	France	1952	42459667	Europe	67.41	7029.809327
38	France	1957	44310863	Europe	68.93	8662.834898
39	France	1962	47124000	Europe	70.51	10560.48553
40	France	1967	49569000	Europe	71.55	12999.91766
41	France	1972	51732000	Europe	72.38	16107.19171
42	France	1977	53165019	Europe	73.83	18292.63514
43	France	1982	54433565	Europe	74.89	20293.89746
44	France	1987	55630100	Europe	76.34	22066.44214
45	France	1992	57374179	Europe	77.46	24703.79615
46	France	1997	58623428	Europe	78.64	25889.78487
47	France	2002	59925035	Europe	79.59	28926.03234
48	France	2007	61083916	Europe	80.657	30470.0167
49	Turkey	1952	22235677	Europe	43.585	1969.10098
50	Turkey	1957	25670939	Europe	48.079	2218.754257
51	Turkey	1962	29788695	Europe	52.098	2322.869908
52	Turkey	1967	33411317	Europe	54.336	2826.356387
53	Turkey	1972	37492953	Europe	57.005	3450.69638
54	Turkey	1977	42404033	Europe	59.507	4269.122326
55	Turkey	1982	47328791	Europe	61.036	4241.356344
56	Turkey	1987	52881328	Europe	63.108	5089.043686
57	Turkey	1992	58179144	Europe	66.146	5678.348271
58	Turkey	1997	63047647	Europe	68.835	6601.429915
59	Turkey	2002	67308928	Europe	70.845	6508.085718
60	Turkey	2007	71158647	Europe	71.777	8458.276384
61	Spain	1952	28549870	Europe	64.94	3834.034742
62	Spain	1957	29841614	Europe	66.66	4564.80241
63	Spain	1962	31158061	Europe	69.69	5693.843879
64	Spain	1967	32850275	Europe	71.44	7993.512294
65	Spain	1972	34513161	Europe	73.06	10638.75131
66	Spain	1977	36439000	Europe	74.39	13236.92117
67	Spain	1982	37983310	Europe	76.3	13926.16997
68	Spain	1987	38880702	Europe	76.9	15764.98313
69	Spain	1992	39549438	Europe	77.57	18603.06452
70	Spain	1997	39855442	Europe	78.77	20445.29896
71	Spain	2002	40152517	Europe	79.78	24835.47166
72	Spain	2007	40448191	Europe	80.941	28821.0637
73	Poland	1952	25730551	Europe	61.31	4029.329699
74	Poland	1957	28235346	Europe	65.77	4734.253019
75	Poland	1962	30329617	Europe	67.64	5338.752143
76	Poland	1967	31785378	Europe	69.61	6557.152776
77	Poland	1972	33039545	Europe	70.85	8006.506993
78	Poland	1977	34621254	Europe	70.67	9508.141454
79	Poland	1982	36227381	Europe	71.32	8451.531004
80	Poland	1987	37740710	Europe	70.98	9082.351172
81	Poland	1992	38370697	Europe	70.99	7738.881247
82	Poland	1997	38654957	Europe	72.75	10159.58368
83	Poland	2002	38625976	Europe	74.67	12002.23908
84	Poland	2007	38518241	Europe	75.563	15389.92468
85	Romania	1952	16630000	Europe	61.05	3144.613186
86	Romania	1957	17829327	Europe	64.1	3943.370225
87	Romania	1962	18680721	Europe	66.8	4734.997586
88	Romania	1967	19284814	Europe	66.8	6470.866545
89	Romania	1972	20662648	Europe	69.21	8011.414402
90	Romania	1977	21658597	Europe	69.46	9356.39724
91	Romania	1982	22356726	Europe	69.66	9605.314053
92	Romania	1987	22686371	Europe	69.53	9696.273295
93	Romania	1992	22797027	Europe	69.36	6598.409903
94	Romania	1997	22562458	Europe	69.72	7346.547557
95	Romania	2002	22404337	Europe	71.322	7885.360081
96	Romania	2007	22276056	Europe	72.476	10808.47561
97	Netherlands	1952	10381988	Europe	72.13	8941.571858
98	Netherlands	1957	11026383	Europe	72.99	11276.19344
99	Netherlands	1962	11805689	Europe	73.23	12790.84956
100	Netherlands	1967	12596822	Europe	73.82	15363.25136
101	Netherlands	1972	13329874	Europe	73.75	18794.74567
102	Netherlands	1977	13852989	Europe	75.24	21209.0592
103	Netherlands	1982	14310401	Europe	76.05	21399.46046
104	Netherlands	1987	14665278	Europe	76.83	23651.32361
105	Netherlands	1992	15174244	Europe	77.42	26790.94961
106	Netherlands	1997	15604464	Europe	78.03	30246.13063
107	Netherlands	2002	16122830	Europe	78.53	33724.75778
108	Netherlands	2007	16570613	Europe	79.762	36797.93332
109	Hungary	1952	9504000	Europe	64.03	5263.673816
110	Hungary	1957	9839000	Europe	66.41	6040.180011
111	Hungary	1962	10063000	Europe	67.96	7550.359877
112	Hungary	1967	10223422	Europe	69.5	9326.64467
113	Hungary	1972	10394091	Europe	69.76	10168.65611
114	Hungary	1977	10637171	Europe	69.95	11674.83737
115	Hungary	1982	10705535	Europe	69.39	12545.99066
116	Hungary	1987	10612740	Europe	69.58	12986.47998
117	Hungary	1992	10348684	Europe	69.17	10535.62855
118	Hungary	1997	10244684	Europe	71.04	11712.7768
119	Hungary	2002	10083313	Europe	72.59	14843.93556
120	Hungary	2007	9956108	Europe	73.338	18008.94444
121	Czech Republic	1952	9125183	Europe	66.87	6876.14025
122	Czech Republic	1957	9513758	Europe	69.03	8256.343918
123	Czech Republic	1962	9620282	Europe	69.9	10136.86713
124	Czech Republic	1967	9835109	Europe	70.38	11399.44489
125	Czech Republic	1972	9862158	Europe	70.29	13108.4536
