country	continent	(Intercept)	year	sd
Afghanistan	Asia	-507.534271561773	0.275328671328672	1.22278798153465
Albania	Europe	-594.072510955711	0.334683216783217	1.98306152601664
Algeria	Africa	-1067.85903962704	0.569279720279723	1.32300638495765
Angola	Africa	-376.504753146854	0.209339860139861	1.40700913536233
Argentina	Americas	-389.606344522146	0.231708391608392	0.292307186863146
Austria	Europe	-405.920523076924	0.241992307692308	0.40740938114647
Bahrain	Asia	-859.825810256413	0.467507692307694	1.63958653950102
Bangladesh	Asia	-936.215774358979	0.498130769230772	0.97669083040901
Belgium	Europe	-340.241246153847	0.209084615384616	0.292902484428887
Benin	Africa	-612.834043822846	0.334232867132868	1.17469098297293
Bolivia	Americas	-937.111142890447	0.49993216783217	1.18444486859309
Bosnia and Herzegovina	Europe	-624.632673659675	0.349755244755245	2.2566650949095
Botswana	Africa	-65.4958580419554	0.0606685314685302	6.11217733062278
Brazil	Americas	-709.942686013989	0.390089510489512	0.326235858949261
Bulgaria	Europe	-218.647251748249	0.14568881118881	2.5091165786477
Burkina Faso	Africa	-675.794166433569	0.363974825174826	2.04709149122034
Burundi	Africa	-260.291445687646	0.154134265734266	1.61077783133226
Cambodia	Asia	-735.786837062941	0.395902797202799	5.63014318176747
Cameroon	Africa	-447.037195804196	0.250146853146853	3.24321358997675
Canada	Americas	-358.348892307693	0.218869230769231	0.249248292949949
Central African Republic	Africa	-320.174207459207	0.183905594405594	3.52452903314442
Chad	Africa	-454.523025407926	0.253244055944056	1.8314394878853
Chile	Americas	-876.481892074596	0.476844055944058	1.19284298957806
China	Asia	-988.764911804199	0.530714853146855	3.85699041346618
Colombia	Americas	-689.79756713287	0.380750349650351	1.31159915511807
Comoros	Africa	-839.167054545458	0.450390909090911	0.47864683792386
Congo, Dem. Rep.	Africa	-141.361753846153	0.0939153846153843	2.42948880742115
Congo, Rep.	Africa	-333.690227738927	0.195095804195804	3.54650030457817
Costa Rica	Americas	-727.140419347322	0.402789510489512	1.51884879179301
Cote d'Ivoire	Africa	-210.000708857808	0.130556643356643	3.92559042624657
Croatia	Europe	-376.241045920746	0.225459440559441	1.14755541415428
Cuba	Americas	-564.672033799535	0.32115034965035	1.74064201097556
Czech Republic	Europe	-215.151553846153	0.144815384615384	0.825492347259874
Denmark	Europe	-165.802706759907	0.12133006993007	0.398788062026585
Djibouti	Africa	-680.894471328674	0.367403496503498	1.12663171472732
Dominican Republic	Americas	-871.091769930073	0.471152447552449	1.55022065900586
Ecuador	Americas	-927.038370862474	0.500053146853149	0.698854603531015
Egypt	Africa	-1043.27927272728	0.555454545454548	1.03918556396997
El Salvador	Americas	-884.867788344992	0.47714125874126	1.94298570069373
Equatorial Guinea	Africa	-571.022760839163	0.310170629370631	0.328689810624531
Eritrea	Africa	-695.700020279724	0.374690209790212	1.49672446219545
Ethiopia	Africa	-563.597580419582	0.307185314685316	1.04743045015035
Finland	Europe	-397.980966899768	0.237925174825175	0.354216727574007
France	Europe	-397.764601864804	0.2385013986014	0.220046849482965
Gabon	Africa	-833.087210489514	0.446732867132869	4.05410718763223
Gambia	Africa	-1107.32373449884	0.581825874125876	1.14756100157286
Germany	Europe	-349.541510955712	0.213683216783217	0.416079578887701
Ghana	Africa	-584.548923543126	0.321742657342658	0.773291401182116
Greece	Europe	-406.094864801866	0.242398601398602	0.778441883487386
Guatemala	Americas	-994.926331235436	0.531273426573429	0.581178943372108
